[2025-10-08 21:53:55,995] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:53:59,519] [INFO] GET /descargar/respuesta_1759978433_1.jpg -> 404
[2025-10-08 21:54:03,606] [INFO] GET /descargar/respuesta_1759978433_1.jpg -> 404
[2025-10-08 21:54:04,585] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:04,710] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:04,815] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:04,945] [INFO] GET /consulta -> 200
[2025-10-08 21:54:05,158] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:54:07,726] [INFO] GET /descargar/respuesta_1759978444_0.jpg -> 404
[2025-10-08 21:54:09,082] [INFO] GET /descargar/respuesta_1759978444_0.jpg -> 404
[2025-10-08 21:54:14,483] [INFO] GET /comandos -> 200
[2025-10-08 21:54:22,528] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:22,661] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:22,763] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:22,905] [INFO] GET /consulta -> 200
[2025-10-08 21:54:23,101] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:54:25,826] [INFO] GET /descargar/respuesta_1759978462_1.jpg -> 404
[2025-10-08 21:54:29,583] [INFO] GET /comandos -> 200
[2025-10-08 21:54:32,831] [INFO] GET /descargar/respuesta_1759978444_0.jpg -> 404
[2025-10-08 21:54:36,295] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:54:36,430] [INFO] GET /consulta -> 200
[2025-10-08 21:54:36,638] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:55:47,476] [INFO] GET /descargar/respuesta_1759978476_4.jpg -> 404
[2025-10-08 21:55:49,392] [INFO] GET /comandos -> 200
[2025-10-08 21:55:59,599] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:55:59,749] [INFO] GET /consulta -> 200
[2025-10-08 21:55:59,940] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:56:03,734] [INFO] GET /descargar/respuesta_1759978559_5.jpg -> 404
[2025-10-08 21:56:05,227] [INFO] GET /comandos -> 200
[2025-10-08 21:56:12,613] [INFO] GET /static/style.css -> 304
[2025-10-08 21:56:13,866] [INFO] GET /consulta -> 200
[2025-10-08 21:56:14,065] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:56:27,739] [INFO] GET /comandos -> 200
[2025-10-08 21:56:36,823] [INFO] GET /consulta -> 200
[2025-10-08 21:56:37,023] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:56:45,522] [INFO] GET /comandos -> 200
[2025-10-08 21:56:53,541] [INFO] GET /consulta -> 200
[2025-10-08 21:56:53,740] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:57:03,612] [INFO] GET /comandos -> 200
[2025-10-08 21:57:08,986] [INFO] GET / -> 200
[2025-10-08 21:57:09,216] [INFO] GET /static/style.css -> 304
[2025-10-08 21:57:09,228] [INFO] GET /static/app.js -> 304
[2025-10-08 21:57:09,451] [INFO] GET /secciones -> 200
[2025-10-08 21:57:10,775] [INFO] GET /comandos -> 200
[2025-10-08 21:57:12,301] [INFO] GET /consulta -> 200
[2025-10-08 21:57:12,493] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:57:18,665] [INFO] GET /comandos -> 200
[2025-10-08 21:57:26,207] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:57:26,338] [INFO] GET /consulta -> 200
[2025-10-08 21:57:26,557] [INFO] GET /temp_files/respuestas.json -> 200
[2025-10-08 21:57:27,895] [INFO] Starting direct file download in chunks of 131072 at 0, stride 131072
[2025-10-08 21:57:28,025] [INFO] GET /consulta -> 200
